StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
701361,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701369,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701370,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701371,10000,1,800,0.08,0.08,0.08,0.08,0.01,2023-12-01
701375,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701382,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701383,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701388,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701389,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701391,350000,2,7000,0.02,0.02,0.02,0.02,-0.01,2023-12-01
701392,51000,6,50160,0.95,1.02,0.95,1.02,0.08,2023-12-01
701393,26000,3,24160,0.91,0.96,0.91,0.96,0.06,2023-12-01
701394,12000,2,8600,0.7,0.72,0.7,0.72,0.07,2023-12-01
701395,1000,1,180,0.18,0.18,0.18,0.18,0.09,2023-12-01
701396,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701398,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701399,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701400,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701401,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701402,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701403,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701404,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701405,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701406,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701407,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701408,559000,4,44720,0.08,0.08,0.08,0.08,0.02,2023-12-01
701410,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701412,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701423,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701434,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701437,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701438,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701446,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701447,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701453,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701456,72000,4,206660,3.01,3.01,2.83,2.88,-0.1,2023-12-01
701457,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701458,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701459,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701460,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701461,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701464,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701466,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701467,12000,1,14880,1.24,1.24,1.24,1.24,0.17,2023-12-01
701488,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701503,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701506,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701507,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701508,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701509,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701518,8000,5,65350,8.1,8.2,8.1,8.15,0.9,2023-12-01
701524,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701529,1000,1,500,0.5,0.5,0.5,0.5,0.28,2023-12-01
701530,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701531,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701533,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701534,57000,9,30050,0.52,0.6,0.52,0.59,-0.12,2023-12-01
701535,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701541,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701546,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701547,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701559,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701562,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701563,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701569,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701576,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701577,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701578,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701584,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701585,10000,1,1700,0.17,0.17,0.17,0.17,0.02,2023-12-01
701586,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701587,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701588,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701589,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701590,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701591,22000,1,10120,0.46,0.46,0.46,0.46,-0.03,2023-12-01
701592,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701593,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701594,60000,2,19500,0.32,0.33,0.32,0.33,0.01,2023-12-01
701595,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701596,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701597,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701598,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701599,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701600,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701602,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701618,68000,3,102640,1.52,1.52,1.48,1.48,-0.18,2023-12-01
701619,167000,14,189450,1.08,1.19,1.08,1.17,0.15,2023-12-01
701622,10000,1,20600,2.06,2.06,2.06,2.06,-0.18,2023-12-01
701626,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701629,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701630,52000,1,70720,1.36,1.36,1.36,1.36,0.19,2023-12-01
701631,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701642,40000,2,30000,0.75,0.75,0.75,0.75,0.06,2023-12-01
701650,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701651,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701652,120000,1,27600,0.23,0.23,0.23,0.23,0.01,2023-12-01
701653,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701654,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701655,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701656,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701657,5000,1,700,0.14,0.14,0.14,0.14,0.0,2023-12-01
701658,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701659,75000,7,133590,1.76,1.85,1.75,1.83,0.07,2023-12-01
701660,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701661,544000,10,371690,0.7,0.7,0.68,0.68,-0.03,2023-12-01
701662,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701663,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701664,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701665,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-01
701666,2000,2,17000,8.3,8.7,8.3,8.7,0.5,2023-12-01
