StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
00901,2163080,793,32651429,15.09,15.12,15.02,15.02,0.02,2023-12-15
00902,5995340,1538,58789333,9.75,9.86,9.75,9.79,0.16,2023-12-15
00903,2268397,568,27970945,12.27,12.35,12.27,12.33,0.09,2023-12-15
00904,2888735,799,43925427,15.18,15.26,15.17,15.17,0.07,2023-12-15
00905,2779787,836,28786769,10.35,10.38,10.32,10.32,0.0,2023-12-15
00907,5264931,1366,78438941,14.85,14.93,14.84,14.88,0.11,2023-12-15
00908,1045258,266,13215876,12.6,12.67,12.6,12.64,0.37,2023-12-15
00909,82042,922,1760751,21.36,21.5,21.36,21.49,0.21,2023-12-15
00910,450563,18,7453793,16.45,16.58,16.45,16.49,0.11,2023-12-15
00911,119899,37,2797616,23.3,23.38,23.25,23.38,0.58,2023-12-15
00912,493376,207,7729372,15.67,15.69,15.63,15.66,0.04,2023-12-15
00913,328708,43,5994095,18.17,18.26,18.16,18.2,0.14,2023-12-15
00915,21449762,8494,497616728,23.4,23.4,23.12,23.14,-0.17,2023-12-15
00916,357604,378,6888545,19.31,19.31,19.2,19.26,-0.08,2023-12-15
00917,1194324,155,20781866,17.04,17.43,17.04,17.42,0.4,2023-12-15
00918,67391076,17506,1520902145,22.63,22.66,22.51,22.55,0.06,2023-12-15
00919,253484407,69769,5806676118,23.0,23.02,22.84,22.85,0.02,2023-12-15
00920,520626,143,7733953,14.69,14.88,14.69,14.85,0.55,2023-12-15
00921,3108581,1004,56386236,18.1,18.16,18.1,18.12,0.05,2023-12-15
00922,13225226,2777,219606316,16.55,16.65,16.55,16.58,0.06,2023-12-15
00923,5967959,2938,102092657,17.1,17.16,17.06,17.06,0.04,2023-12-15
00924,1729322,592,30527583,17.65,17.68,17.64,17.65,-0.08,2023-12-15
00925,1447799,91,24183363,16.66,16.76,16.63,16.74,0.73,2023-12-15
00926,3080282,163,51910180,16.89,16.9,16.78,16.79,-0.1,2023-12-15
00927,2901334,675,50818744,17.5,17.58,17.47,17.48,0.08,2023-12-15
00929,205882940,72259,4040905692,19.81,19.82,19.5,19.5,-0.2,2023-12-15
00930,2577934,1142,47707387,18.67,18.67,18.41,18.43,-0.15,2023-12-15
00932,2418686,973,40198848,16.7,16.72,16.55,16.55,-0.07,2023-12-15
00934,23586569,7520,405805930,17.31,17.31,17.15,17.15,-0.06,2023-12-15
00935,10281298,3237,175483403,17.08,17.13,17.03,17.04,0.1,2023-12-15
00936,17004164,3861,284094879,16.83,16.83,16.65,16.65,0.0,2023-12-15
01001T,317000,14,4469620,14.08,14.1,14.08,14.09,-0.01,2023-12-15
01002T,47020,29,809277,17.16,17.28,17.16,17.25,0.05,2023-12-15
01004T,321005,8,4221214,13.15,13.15,13.15,13.15,0.0,2023-12-15
01007T,282000,79,4619610,16.39,16.39,16.31,16.39,0.0,2023-12-15
01009T,14000,2,112400,8.03,8.03,8.02,8.02,-0.01,2023-12-15
01010T,55000,25,550590,10.0,10.05,9.99,10.02,-0.03,2023-12-15
020000,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
020002,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
020007,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
020011,1000,1,8280,8.28,8.28,8.28,8.28,0.01,2023-12-15
020012,16000,1,162560,10.16,10.16,10.16,10.16,-0.19,2023-12-15
020015,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
020016,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
020018,51000,6,1007550,19.8,19.8,19.72,19.74,0.18,2023-12-15
020019,8000,3,122490,15.32,15.33,15.28,15.28,0.07,2023-12-15
02001L,83000,25,1483670,17.94,18.03,17.72,17.72,-0.21,2023-12-15
02001R,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
02001S,8000,2,47680,5.96,5.96,5.96,5.96,0.03,2023-12-15
020020,199000,45,1688560,8.42,8.51,8.42,8.48,0.06,2023-12-15
020028,236000,60,1781210,7.49,7.58,7.49,7.51,0.02,2023-12-15
020029,117000,41,832260,7.08,7.14,7.08,7.09,0.01,2023-12-15
020030,1105000,83,5542540,5.02,5.02,5.0,5.01,0.02,2023-12-15
020031,113000,26,666720,5.97,5.97,5.87,5.88,-0.04,2023-12-15
020032,32000,16,173790,5.4,5.46,5.4,5.42,0.09,2023-12-15
020034,479000,40,3633760,7.65,7.66,7.54,7.55,-0.04,2023-12-15
020036,5000,5,27720,5.55,5.55,5.53,5.54,-0.01,2023-12-15
020037,55000,12,312560,5.7,5.7,5.68,5.68,-0.02,2023-12-15
020038,230000,47,1409720,6.1,6.15,6.1,6.12,0.02,2023-12-15
020039,284000,37,1502000,5.28,5.29,5.27,5.28,0.02,2023-12-15
03001T,5000,1,11250,2.25,2.25,2.25,2.25,0.0,2023-12-15
03002T,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03003T,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03004T,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03005T,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03005X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03006T,185000,5,20770,0.12,0.13,0.11,0.11,-0.02,2023-12-15
03006X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03007T,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03007X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03008T,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03009T,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03010T,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03010X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03011T,392000,7,113900,0.29,0.3,0.29,0.3,-0.02,2023-12-15
03012T,1000,1,30,0.03,0.03,0.03,0.03,-0.01,2023-12-15
03012X,32000,5,599700,18.8,18.8,18.7,18.7,-0.1,2023-12-15
03013T,162000,2,21060,0.13,0.13,0.13,0.13,-0.03,2023-12-15
03013X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03014T,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03014X,5000,1,203500,40.7,40.7,40.7,40.7,0.0,2023-12-15
03015T,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03015X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03016T,503000,11,164510,0.33,0.34,0.32,0.33,-0.05,2023-12-15
03016X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03017T,207000,5,63100,0.31,0.31,0.29,0.3,-0.06,2023-12-15
03017X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03018T,206000,4,305040,1.48,1.5,1.48,1.5,-0.21,2023-12-15
03019T,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03019X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03020T,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03020X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03021T,5000,1,6800,1.36,1.36,1.36,1.36,0.0,2023-12-15
03022T,5000,1,2200,0.44,0.44,0.44,0.44,0.0,2023-12-15
03022X,9000,3,257500,28.7,28.7,28.5,28.5,-0.2,2023-12-15
03023T,28000,2,89460,3.19,3.2,3.19,3.2,0.0,2023-12-15
03024T,41000,1,89380,2.18,2.18,2.18,2.18,0.0,2023-12-15
03025T,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03026T,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03026X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03027T,5000,1,1850,0.37,0.37,0.37,0.37,0.0,2023-12-15
03027X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03028T,226000,7,27830,0.14,0.14,0.12,0.13,-0.02,2023-12-15
03028X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03029T,306000,3,18420,0.06,0.07,0.06,0.07,-0.01,2023-12-15
03029X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03030T,520000,9,197600,0.38,0.38,0.38,0.38,-0.05,2023-12-15
03031T,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03032T,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03033T,451000,7,107760,0.23,0.27,0.23,0.27,0.04,2023-12-15
03034T,54000,1,19980,0.37,0.37,0.37,0.37,-0.05,2023-12-15
03035T,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03035X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03036T,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03037T,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03038T,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03038X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03039T,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03039X,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03040T,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03041T,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03042T,30000,1,89100,2.97,2.97,2.97,2.97,0.01,2023-12-15
03043Q,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03043T,30000,1,89400,2.98,2.98,2.98,2.98,0.0,2023-12-15
03044Q,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
03044T,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-12-15
