股票代號,股票名稱,買進,賣出,現金償還,前日餘額,今日餘額,限額,買進,賣出,現券償還,前日餘額,今日餘額,限額,資券互抵,註記,日期
2426,鼎元,125,52,0,"3,569","3,642","75,155",0,0,0,6,6,"75,155",2, ,20231214
2427,三商電,266,962,0,"8,151","7,455","46,078",371,"1,404",0,"3,158","4,191","46,078",0, ,20231214
2428,興勤,242,279,0,"3,089","3,052","32,028",6,0,0,23,17,"32,028",0, ,20231214
2429,銘旺科,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231214
2430,燦坤,0,0,0,213,213,"29,200",0,0,0,3,3,"29,200",0, ,20231214
2431,聯昌,13,8,0,"1,620","1,625","27,731",0,0,0,1,1,"27,731",0, ,20231214
2433,互盛電,0,0,0,2,2,"36,124",0,0,0,0,0,"36,124",0, ,20231214
2434,統懋,2,0,0,225,227,"2,377",0,0,0,0,0,"2,377",0, ,20231214
2436,偉詮電,440,"1,408",1,"12,785","11,816","44,502",87,0,0,"1,455","1,368","44,502",4, ,20231214
2438,翔耀,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231214
2439,美律,205,815,0,"4,916","4,306","54,846",3,70,0,575,642,"54,846",0, ,20231214
2440,太空梭,0,4,0,222,218,0,0,0,0,0,0,0,0,OX ,20231214
2441,超豐,400,34,0,515,881,"142,211",0,1,0,15,16,"142,211",2, ,20231214
2442,新美齊,253,169,0,"4,184","4,268","61,959",1,0,0,11,10,"61,959",0, ,20231214
2443,昶虹,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231214
2444,兆勁,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231214
2449,京元電子,"1,561","1,965",0,"6,036","5,632","305,686",63,174,0,"1,584","1,695","305,686",42, ,20231214
2450,神腦,18,0,0,65,83,"64,563",0,0,0,0,0,"64,563",0, ,20231214
2451,創見,14,39,0,804,779,"107,265",0,0,0,36,36,"107,265",0, ,20231214
2453,凌群,94,154,0,"5,421","5,361","25,000",17,2,0,108,93,"25,000",2, ,20231214
2454,聯發科,303,221,16,"5,585","5,651","399,911",16,17,1,447,447,"399,911",0, ,20231214
2455,全新,287,203,0,"2,228","2,312","46,226",25,18,0,604,597,"46,226",1, ,20231214
2457,飛宏,208,251,4,"28,249","28,202","98,422",32,30,0,"2,186","2,184","98,422",9, ,20231214
2458,義隆,119,137,0,"3,418","3,400","75,970",14,1,0,174,161,"75,970",1, ,20231214
2459,敦吉,4,0,0,243,247,"26,398",0,0,0,0,0,"26,398",0, ,20231214
2460,建通,84,179,0,"5,122","5,027","42,300",5,7,0,119,121,"42,300",0, ,20231214
2461,光群雷,76,45,0,"10,122","10,153","42,365",0,0,0,27,27,"42,365",0, ,20231214
2462,良得電,56,191,1,"12,403","12,267","30,302",6,2,3,533,526,"30,302",0, ,20231214
2464,盟立,1,95,1,"2,294","2,199","48,882",0,0,0,38,38,"48,882",0, ,20231214
2465,麗臺,0,1,0,102,101,0,0,0,0,53,53,0,0,OX ,20231214
2466,冠西電,0,2,0,"1,161","1,159","40,952",0,0,0,0,0,"40,952",0, ,20231214
2467,志聖,323,413,0,"1,949","1,859","39,188",9,0,0,33,24,"39,188",0, ,20231214
2468,華經,111,94,0,"4,618","4,635","17,490",2,45,0,108,151,"17,490",0, ,20231214
2471,資通,21,14,0,"2,728","2,735","11,813",0,0,0,12,12,"11,813",0, ,20231214
2472,立隆電,752,642,0,"4,803","4,913","41,183",0,12,8,43,47,"41,183",0, ,20231214
2474,可成,134,16,1,"1,545","1,662","170,091",2,0,0,7,5,"170,091",0, ,20231214
2476,鉅祥,"1,642",808,0,"21,191","22,025","47,663",70,52,0,474,456,"47,663",8, ,20231214
2477,美隆電,2,5,0,"1,579","1,576","39,643",0,0,0,0,0,"39,643",0, ,20231214
2478,大毅,33,17,0,"1,248","1,264","36,182",0,0,0,6,6,"36,182",0, ,20231214
2480,敦陽科,3,10,1,727,719,"26,590",0,0,0,7,7,"26,590",0, ,20231214
2481,強茂,"1,050",435,5,"13,575","14,185","95,528",8,22,0,66,80,"95,528",1, ,20231214
2482,連宇,185,130,0,"6,619","6,674","19,470",27,123,0,"1,076","1,172","19,470",1, ,20231214
2483,百容,1,18,0,"1,796","1,779","27,273",0,0,0,1,1,"27,273",0, ,20231214
2484,希華,97,263,1,"6,306","6,139","39,855",0,0,0,29,29,"39,855",0, ,20231214
2485,兆赫,259,504,0,"16,706","16,461","79,422",15,28,0,457,470,"79,422",1, ,20231214
2486,一詮,586,262,6,"20,616","20,934","55,489",37,24,0,864,851,"55,489",13, ,20231214
2488,漢平,31,23,0,"1,219","1,227","19,999",0,0,0,9,9,"19,999",0, ,20231214
2489,瑞軒,101,115,0,"6,295","6,281","185,025",0,0,0,16,16,"185,025",0, ,20231214
2491,吉祥全,0,0,0,67,67,0,0,0,0,0,0,0,0,OX ,20231214
2492,華新科,"1,047",563,0,"9,149","9,633","121,451",5,3,0,422,420,"121,451",5, ,20231214
2493,揚博,93,50,0,"1,091","1,134","28,609",0,0,0,39,39,"28,609",1, ,20231214
2495,普安,111,106,0,"7,541","7,546","68,387",57,2,0,73,18,"68,387",0, ,20231214
2496,卓越,4,4,0,273,273,"4,775",0,0,0,0,0,"4,775",0, ,20231214
2497,怡利電,35,22,0,"5,293","5,306","30,699",5,98,0,176,269,"30,699",0, ,20231214
2498,宏達電,"2,203","2,211",25,"41,455","41,422","207,910",45,683,0,"1,512","2,150","207,910",83, ,20231214
2501,國建,663,407,0,"2,536","2,792","289,890",0,0,0,0,0,"289,890",0, ,20231214
2504,國產,245,231,0,"3,909","3,923","295,000",0,0,0,25,25,"295,000",0, ,20231214
2505,國揚,97,50,0,"2,254","2,301","95,000",0,0,0,3,3,"95,000",0, ,20231214
2506,太設,48,223,0,"2,209","2,034","75,125",0,0,0,3,3,"75,125",0, ,20231214
2509,全坤建,0,0,0,821,821,"56,137",0,0,0,0,0,"56,137",0, ,20231214
2511,太子,108,13,0,"6,092","6,187","405,831",0,0,0,0,0,"405,831",0, ,20231214
2514,龍邦,2,19,0,"2,173","2,156","98,682",0,0,0,1,1,"98,682",0, ,20231214
2515,中工,"13,741","9,274",0,"56,192","60,659","382,724",14,107,0,224,317,"382,724",129, ,20231214
2516,新建,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231214
2520,冠德,621,"1,510",53,"9,192","8,250","138,542",5,7,0,85,87,"138,542",0, ,20231214
2524,京城,5,32,0,"8,469","8,442","92,354",0,0,0,0,0,"92,354",0, ,20231214
2527,宏璟,43,189,2,"1,356","1,208","67,576",0,0,0,2,2,"67,576",0, ,20231214
2528,皇普,407,123,0,"3,771","4,055","69,277",0,213,0,929,"1,142","69,277",0, ,20231214
2530,華建,639,148,0,"7,944","8,435","130,188",16,10,0,49,43,"130,188",2, ,20231214
2534,宏盛,159,8,"1,661","12,053","10,543","118,556",0,2,0,2,4,"118,556",0, ,20231214
2535,達欣工,17,5,0,116,128,"67,698",0,0,0,2,2,"67,698",0, ,20231214
2536,宏普,15,45,0,"2,026","1,996","83,202",0,0,0,3,3,"83,202",0, ,20231214
2537,聯上發,69,83,0,"4,030","4,016","75,139",0,0,0,2,2,"75,139",0, ,20231214
2538,基泰,133,21,0,"8,516","8,628","109,612",5,0,0,494,489,"109,612",0, ,20231214
2539,櫻花建,47,125,0,"3,282","3,204","214,278",0,2,0,4,6,"214,278",0, ,20231214
2540,愛山林,82,132,0,"1,256","1,206","97,901",0,2,0,25,27,"97,901",0, ,20231214
2542,興富發,26,28,0,"4,060","4,058","471,035",0,0,0,14,14,"471,035",0, ,20231214
2543,皇昌,291,499,0,"3,857","3,649","59,370",21,3,1,978,959,"59,370",4, ,20231214
2545,皇翔,382,35,0,722,"1,069","81,933",0,0,0,4,4,"81,933",0, ,20231214
2546,根基,12,0,0,85,97,"30,180",0,0,0,0,0,"30,180",0, ,20231214
2547,日勝生,188,188,0,"7,470","7,470","220,023",0,7,0,3,10,"220,023",0, ,20231214
2548,華固,2,0,0,280,282,"69,203",0,0,0,2,2,"69,203",0, ,20231214
2597,潤弘,1,2,0,218,217,"46,237",0,0,0,0,0,"46,237",0, ,20231214
2601,益航,346,202,37,"11,798","11,905","206,194",29,10,0,59,40,"206,194",1, ,20231214
2603,長榮,922,"1,103",47,"25,920","25,692","529,105",72,32,1,"3,359","3,318","529,105",1, ,20231214
2605,新興,"1,638","2,881",27,"20,428","19,158","146,338",204,163,0,"2,037","1,996","146,338",4, ,20231214
2606,裕民,"1,081","1,322",1,"15,088","14,846","211,263",76,15,0,569,508,"211,263",9, ,20231214
2607,榮運,224,385,1,"6,174","6,012","266,785",7,21,1,66,79,"266,785",0, ,20231214
2608,嘉里大榮,1,1,0,"1,052","1,052","116,750",0,0,0,1,1,"116,750",0, ,20231214
2609,陽明,"1,193",996,57,"55,249","55,389","873,026",54,1,0,"4,554","4,501","873,026",4, ,20231214
2610,華航,"2,471",813,25,"93,957","95,590","1,512,818",20,136,0,"1,985","2,101","1,512,818",13, ,20231214
2611,志信,184,482,11,"4,344","4,035","47,250",11,16,0,206,211,"47,250",0, ,20231214
2612,中航,198,872,0,"3,918","3,244","49,371",64,23,0,452,411,"49,371",0, ,20231214
2613,中櫃,5,14,0,"1,200","1,191","37,105",0,0,0,32,32,"37,105",0, ,20231214
2614,東森,37,23,22,"4,482","4,474","75,060",0,0,0,0,0,"75,060",0, ,20231214
2615,萬海,"1,005",675,61,"25,112","25,381","701,536",784,79,0,"4,236","3,531","701,536",10, ,20231214
2616,山隆,1,0,0,98,99,"34,320",0,0,0,0,0,"34,320",0, ,20231214
2617,台航,367,814,1,"5,870","5,422","104,323",15,1,0,70,56,"104,323",0, ,20231214
2618,長榮航,"3,971","4,166",5,"141,123","140,923","1,350,111",26,189,0,"3,077","3,240","1,350,111",36, ,20231214
2633,台灣高鐵,236,406,0,"5,194","5,024","657,073",0,0,0,16,16,"657,073",0, ,20231214
2634,漢翔,389,280,0,"28,373","28,482","235,466",2,5,0,289,292,"235,466",0, ,20231214
2636,台驊投控,116,86,2,"1,554","1,582","35,847",5,0,0,42,37,"35,847",2, ,20231214
2637,慧洋-KY,398,762,42,"16,118","15,712","186,602",24,3,48,385,316,"186,602",0, ,20231214
2642,宅配通,3,12,1,506,496,"23,866",0,0,0,1,1,"23,866",0, ,20231214
2645,長榮航太,36,28,0,679,687,"93,642",0,0,0,0,0,"93,642",0, ,20231214
2701,萬企,6,19,0,"1,767","1,754","112,491",0,0,0,1,1,"112,491",0, ,20231214
2702,華園,17,16,0,"1,950","1,951","39,153",0,0,0,6,6,"39,153",0, ,20231214
2704,國賓,2,26,0,626,602,"91,730",0,0,0,3,3,"91,730",0, ,20231214
2705,六福,29,114,20,"4,164","4,059","46,634",0,0,0,14,14,"46,634",0, ,20231214
2706,第一店,3,8,0,"2,449","2,444","124,999",0,0,0,12,12,"124,999",0, ,20231214
2707,晶華,28,73,0,"1,765","1,720","31,850",0,0,0,24,24,"31,850",0, ,20231214
2712,遠雄來,1,0,0,466,467,"26,250",0,0,0,0,0,"26,250",0, ,20231214
2722,夏都,10,20,2,"1,002",990,"29,553",9,5,0,313,309,"29,553",0, ,20231214
2723,美食-KY,20,10,0,"1,928","1,938","45,000",0,0,0,1,1,"45,000",0, ,20231214
2727,王品,39,43,0,"2,219","2,215","19,247",26,6,0,98,78,"19,247",0, ,20231214
2731,雄獅,93,182,1,"4,538","4,448","23,307",17,5,0,369,357,"23,307",0, ,20231214
2739,寒舍,40,61,7,993,965,"22,881",6,1,0,32,27,"22,881",0, ,20231214
2748,雲品,11,44,8,"3,660","3,619","26,444",8,4,0,358,354,"26,444",0, ,20231214
2753,八方雲集,4,0,0,"1,476","1,480","16,623",0,0,0,3,3,"16,623",0,X ,20231214
2801,彰銀,275,7,1,"3,770","4,037","2,714,573",0,0,0,52,52,"2,714,573",0, ,20231214
2809,京城銀,22,43,0,"1,375","1,354","277,808",0,0,0,19,19,"277,808",0, ,20231214
2812,台中銀,4,16,0,"1,266","1,254","1,306,523",0,2,0,35,37,"1,306,523",0, ,20231214
2816,旺旺保,290,363,0,"4,333","4,260","55,902",21,0,0,597,576,"55,902",3, ,20231214
2820,華票,1,0,0,217,218,"335,740",0,0,0,3,3,"335,740",0, ,20231214
2832,台產,2,0,0,804,806,"90,550",0,0,0,0,0,"90,550",0, ,20231214
2834,臺企銀,36,369,0,"10,821","10,488","1,935,006",0,3,0,6,9,"1,935,006",2, ,20231214
2836,高雄銀,1,1,0,"3,854","3,854","308,574",0,5,0,45,50,"308,574",0, ,20231214
2838,聯邦銀,68,0,0,"1,223","1,291","944,738",0,0,0,10,10,"944,738",0, ,20231214
2845,遠東銀,162,3,0,"3,520","3,679","1,017,370",0,2,0,22,24,"1,017,370",0, ,20231214
2849,安泰銀,0,35,0,475,440,"223,623",0,0,0,0,0,"223,623",0, ,20231214
2850,新產,0,1,0,65,64,"78,990",0,0,0,1,1,"78,990",0, ,20231214
2851,中再保,47,6,10,"1,553","1,584","200,097",0,0,0,1,1,"200,097",0, ,20231214
2852,第一保,0,2,0,373,371,"75,290",0,0,0,0,0,"75,290",0, ,20231214
2855,統一證,75,24,0,"1,453","1,504","363,957",100,0,0,110,10,"363,957",0, ,20231214
2867,三商壽,0,0,5,904,899,0,0,0,0,0,0,0,0,OX ,20231214
2880,華南金,50,18,0,"1,809","1,841","3,410,686",0,0,0,16,16,"3,410,686",0, ,20231214
2881,富邦金,"2,149",508,1,"6,790","8,430","3,253,743",31,78,0,217,264,"3,253,743",0, ,20231214
2882,國泰金,"1,319","1,213",13,"14,671","14,764","3,667,302",8,24,0,474,490,"3,667,302",10, ,20231214
2883,開發金,"1,965","1,539",27,"39,753","40,152","4,208,645",12,26,0,336,350,"4,208,645",0, ,20231214
2884,玉山金,138,91,0,"5,947","5,994","3,916,000",24,10,0,69,55,"3,916,000",0, ,20231214
2885,元大金,23,26,0,"1,247","1,244","3,172,270",15,1,0,26,12,"3,172,270",0, ,20231214
2886,兆豐金,82,262,0,"2,384","2,204","3,512,834",0,37,0,320,357,"3,512,834",5, ,20231214
2887,台新金,2,18,2,"10,365","10,347","3,119,265",2,0,0,38,36,"3,119,265",0, ,20231214
2888,新光金,"1,549","1,057",44,"101,173","101,621","3,871,907",85,89,0,"11,124","11,128","3,871,907",2, ,20231214
2889,國票金,168,92,0,"2,521","2,597","861,845",0,0,0,17,17,"861,845",0, ,20231214
2890,永豐金,119,16,8,"1,914","2,009","3,094,109",0,2,0,294,296,"3,094,109",0, ,20231214
2891,中信金,446,553,1,"13,391","13,283","4,895,824",16,36,0,485,505,"4,895,824",0, ,20231214
2892,第一金,56,29,0,"1,179","1,206","3,405,036",2,0,0,26,24,"3,405,036",0, ,20231214
2897,王道銀行,882,401,0,"5,241","5,722","683,498",0,4,0,714,718,"683,498",0, ,20231214
2901,欣欣,2,1,0,689,690,"18,260",0,0,0,0,0,"18,260",0, ,20231214
2903,遠百,51,125,0,"5,568","5,494","354,235",0,0,0,1,1,"354,235",0, ,20231214
2904,匯僑,0,9,0,37,28,"19,458",0,0,0,0,0,"19,458",0, ,20231214
2905,三商,1,43,0,902,860,"280,623",1,0,0,12,11,"280,623",0, ,20231214
2906,高林,34,17,10,"3,630","3,637","52,277",0,0,0,125,125,"52,277",0, ,20231214
2908,特力,30,50,0,"8,627","8,607","127,471",0,0,0,0,0,"127,471",0, ,20231214
2910,統領,0,0,0,44,44,"52,181",0,0,0,0,0,"52,181",0, ,20231214
2911,麗嬰房,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231214
2912,統一超,1,1,0,358,358,"259,905",0,0,0,0,0,"259,905",0, ,20231214
2913,農林,433,500,16,"20,011","19,928","176,687",0,5,0,138,143,"176,687",0, ,20231214
2915,潤泰全,365,136,9,"5,326","5,546","276,079",17,0,0,27,10,"276,079",0, ,20231214
2929,淘帝-KY,21,17,0,"1,361","1,365","27,373",0,0,0,3,3,"27,373",0, ,20231214
2939,凱羿-KY,0,2,0,"1,823","1,821","11,387",0,0,0,0,0,"11,387",0, ,20231214
3002,歐格,101,158,0,"4,678","4,621","25,500",0,0,0,0,0,"25,500",0, ,20231214
3003,健和興,12,101,0,"5,391","5,302","38,913",0,0,0,10,10,"38,913",0, ,20231214
3004,豐達科,29,207,0,"2,731","2,553","13,462",1,0,0,37,36,"13,462",0, ,20231214
3005,神基,"4,580","2,204",0,"6,712","9,088","152,365",39,81,3,765,804,"152,365",57, ,20231214
3006,晶豪科,"1,609","1,393",3,"15,670","15,883","71,542",118,77,0,"1,133","1,092","71,542",26, ,20231214
3008,大立光,223,177,0,"1,209","1,255","33,367",3,5,0,44,46,"33,367",0, ,20231214
3010,華立,9,9,0,454,454,"59,005",0,1,0,84,85,"59,005",0, ,20231214
3011,今皓,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231214
3013,晟銘電,"1,275","1,218",2,"18,625","18,680","38,983",39,104,0,"1,716","1,781","38,983",30, ,20231214
3014,聯陽,154,157,0,"3,344","3,341","40,270",3,27,0,238,262,"40,270",0, ,20231214
3015,全漢,26,32,0,593,587,"46,815",0,0,0,1,1,"46,815",0, ,20231214
3016,嘉晶,26,55,0,"4,020","3,991","72,134",1,0,0,149,148,"72,134",0, ,20231214
3017,奇鋐,807,663,1,"13,010","13,153","95,827",84,52,0,817,785,"95,827",2, ,20231214
3018,隆銘綠能,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231214
3019,亞光,"1,295","1,574",0,"7,348","7,069","69,810",5,31,0,159,185,"69,810",47, ,20231214
3021,鴻名,11,3,0,"2,113","2,121","23,972",0,0,0,0,0,"23,972",0, ,20231214
3022,威強電,27,70,0,"5,225","5,182","44,149",0,0,0,8,8,"44,149",0, ,20231214
3023,信邦,11,47,0,619,583,"60,008",1,0,0,4,3,"60,008",0, ,20231214
3024,憶聲,126,262,0,"10,673","10,537","69,289",0,0,0,229,229,"69,289",0, ,20231214
3025,星通,787,622,6,"6,222","6,381","14,184",128,25,0,182,79,"14,184",26, ,20231214
3026,禾伸堂,3,3,0,577,577,"41,472",0,0,0,0,0,"41,472",0, ,20231214
3027,盛達,187,97,0,"7,210","7,300","25,109",1,0,0,77,76,"25,109",0, ,20231214
3028,增你強,82,68,0,"1,150","1,164","57,935",0,26,4,352,374,"57,935",0, ,20231214
3029,零壹,58,71,0,"2,652","2,639","38,587",0,0,0,244,244,"38,587",0, ,20231214
3030,德律,11,6,0,"1,729","1,734","59,054",0,0,0,8,8,"59,054",0, ,20231214
3031,佰鴻,17,24,0,"1,335","1,328","43,300",0,0,0,103,103,"43,300",0, ,20231214
3032,偉訓,220,279,0,"7,443","7,384","25,821",11,1,0,240,230,"25,821",2, ,20231214
3033,威健,90,38,3,"2,708","2,757","107,017",0,0,0,155,155,"107,017",0, ,20231214
3034,聯詠,70,50,0,"1,704","1,724","152,127",6,0,0,398,392,"152,127",0, ,20231214
3035,智原,"1,351","1,728",13,"13,845","13,455","62,137",159,226,0,"3,164","3,231","62,137",39, ,20231214
3036,文曄,333,247,1,"5,233","5,318","221,943",289,30,0,"1,269","1,010","221,943",1, ,20231214
3037,欣興,663,"1,840",44,"26,885","25,664","381,280",16,101,2,"1,083","1,166","381,280",2, ,20231214
3038,全台,23,35,0,"3,734","3,722","39,351",1,0,0,44,43,"39,351",0, ,20231214
3040,遠見,0,1,0,75,74,"15,750",0,0,0,0,0,"15,750",0, ,20231214
3041,揚智,"2,987","1,919",0,"10,002","11,070","48,490",101,211,2,"3,317","3,425","48,490",101, ,20231214
3042,晶技,98,161,0,"2,783","2,720","77,439",1,1,0,46,46,"77,439",0, ,20231214
3043,科風,48,55,0,"1,849","1,842","9,743",0,1,0,16,17,"9,743",0, ,20231214
3044,健鼎,568,611,1,"4,684","4,640","131,401",29,29,0,367,367,"131,401",2, ,20231214
3045,台灣大,1,0,0,559,560,"930,815",0,0,0,1,1,"930,815",0, ,20231214
3046,建碁,23,46,0,"3,441","3,418","19,612",0,0,0,17,17,"19,612",0, ,20231214
3047,訊舟,543,690,0,"13,582","13,435","53,373",162,16,0,"1,044",898,"53,373",2, ,20231214
3048,益登,8,53,0,"1,254","1,209","61,207",0,1,0,6,7,"61,207",0, ,20231214
3049,精金,93,67,0,"11,557","11,583","200,502",9,1,0,18,10,"200,502",1, ,20231214
3050,鈺德,344,336,0,"8,784","8,792","36,496",3,10,0,69,76,"36,496",1, ,20231214
3051,力特,"1,140","1,937",0,"9,109","8,312","34,909",217,183,0,"1,084","1,050","34,909",25, ,20231214
3052,夆典,324,426,0,"1,448","1,346","57,668",0,0,0,0,0,"57,668",0, ,20231214
3054,立萬利,0,0,0,49,49,0,0,0,0,0,0,0,0,OX ,20231214
3055,蔚華科,98,281,45,"8,793","8,565","25,610",10,0,0,113,103,"25,610",1, ,20231214
3056,富華新,3,17,0,"5,226","5,212","85,568",0,0,0,164,164,"85,568",0, ,20231214
3057,喬鼎,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231214
3058,立德,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231214
3059,華晶科,408,321,12,"10,651","10,726","69,700",1,4,0,281,284,"69,700",1, ,20231214
3060,銘異,85,181,0,"3,195","3,099","34,390",0,0,0,5,5,"34,390",0, ,20231214
3062,建漢,79,171,3,"14,182","14,087","82,563",11,0,0,47,36,"82,563",0, ,20231214
3090,日電貿,59,11,0,"1,577","1,625","45,664",0,0,0,3,3,"45,664",0, ,20231214
3092,鴻碩,9,26,1,"2,404","2,386","26,638",0,0,0,100,100,"26,638",0, ,20231214
3094,聯傑,796,366,0,"5,545","5,975","20,779",130,14,0,348,232,"20,779",6, ,20231214
3130,一零四,0,0,0,0,0,"8,297",0,0,0,0,0,"8,297",0,X ,20231214
3138,耀登,261,176,0,"2,522","2,607","11,700",0,9,0,6,15,"11,700",0, ,20231214
3149,正達,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231214
3164,景岳,1,0,0,921,922,"21,627",0,0,0,0,0,"21,627",0, ,20231214
3167,大量,2,1,0,781,782,"20,634",0,0,0,3,3,"20,634",0, ,20231214
3189,景碩,136,175,7,"10,094","10,048","113,616",72,16,0,800,744,"113,616",0, ,20231214
3209,全科,1,6,0,"1,330","1,325","57,855",0,0,1,34,33,"57,855",0, ,20231214
3229,晟鈦,0,0,0,100,100,0,0,0,0,0,0,0,0,OX ,20231214
3231,緯創,"4,344","4,325",123,"120,269","120,165","724,951",70,143,0,"1,831","1,904","724,951",14, ,20231214
3257,虹冠電,44,66,0,"4,197","4,175","19,996",1,2,0,27,28,"19,996",1, ,20231214
3266,昇陽,221,152,0,"1,623","1,692","88,078",0,0,0,28,28,"88,078",0, ,20231214
3296,勝德,12,33,0,"4,744","4,723","24,181",0,6,0,44,50,"24,181",0, ,20231214
3305,昇貿,235,260,0,"10,986","10,961","33,559",0,4,0,331,335,"33,559",1, ,20231214
3308,聯德,103,79,1,"3,420","3,443","17,530",7,36,1,146,174,"17,530",0, ,20231214
3311,閎暉,10,53,0,"3,806","3,763","15,000",0,0,0,0,0,"15,000",0, ,20231214
3312,弘憶股,19,10,3,"1,398","1,404","40,656",0,0,0,11,11,"40,656",0, ,20231214
3321,同泰,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231214
3338,泰碩,299,212,4,"5,995","6,078","21,977",0,1,0,79,80,"21,977",1, ,20231214
3346,麗清,897,774,1,"6,636","6,758","28,491",0,52,2,371,421,"28,491",7, ,20231214
3356,奇偶,13,51,0,"4,280","4,242","22,455",0,3,0,23,26,"22,455",0, ,20231214
3376,新日興,120,240,0,"3,018","2,898","46,937",7,6,0,287,286,"46,937",1, ,20231214
3380,明泰,421,246,0,"9,014","9,189","135,429",55,11,0,414,370,"135,429",1, ,20231214
3406,玉晶光,693,798,0,"4,193","4,088","28,185",12,34,0,248,270,"28,185",5, ,20231214
3413,京鼎,284,102,1,"1,428","1,609","22,317",0,5,0,109,114,"22,317",6, ,20231214
3416,融程電,5,13,0,"1,172","1,164","19,577",0,0,0,0,0,"19,577",0, ,20231214
3419,譁裕,43,19,0,"6,011","6,035","30,120",0,1,0,1,2,"30,120",1, ,20231214
3432,台端,0,0,0,453,453,0,0,0,0,0,0,0,0,OX ,20231214
3437,榮創,862,565,0,"5,334","5,631","36,137",225,23,0,"1,437","1,235","36,137",41, ,20231214
3443,創意,404,676,2,"6,669","6,395","33,502",31,12,0,302,283,"33,502",0, ,20231214
3447,展達,4,1,7,"1,238","1,234","19,204",0,0,0,0,0,"19,204",0, ,20231214
3450,聯鈞,"1,218","1,348",0,"16,000","15,870","36,420",32,329,5,377,669,"36,420",5, ,20231214
3454,晶睿,5,21,0,"2,979","2,963","21,641",1,3,0,451,453,"21,641",0, ,20231214
3481,群創,"1,994","1,297",635,"162,190","162,252","2,269,658",215,131,3,"1,565","1,478","2,269,658",0, ,20231214
3494,誠研,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231214
3501,維熹,5,5,0,463,463,"29,564",0,0,0,0,0,"29,564",0, ,20231214
3504,揚明光,316,273,2,"6,051","6,092","28,514",5,6,0,418,419,"28,514",4, ,20231214
3515,華擎,316,286,0,"3,245","3,275","30,410",3,1,0,190,188,"30,410",0, ,20231214
3518,柏騰,86,71,0,"6,124","6,139","20,035",1,3,0,250,252,"20,035",0, ,20231214
3528,安馳,1,1,0,353,353,"16,656",0,0,0,0,0,"16,656",0, ,20231214
3530,晶相光,177,94,1,"1,625","1,707","19,613",1,3,0,98,100,"19,613",0, ,20231214
3532,台勝科,296,315,2,"3,870","3,849","96,962",2,0,7,42,33,"96,962",0, ,20231214
3533,嘉澤,369,146,0,"1,151","1,374","27,832",0,5,0,27,32,"27,832",0, ,20231214
3535,晶彩科,1,78,0,"4,135","4,058","19,763",0,0,0,11,11,"19,763",0, ,20231214
3543,州巧,24,11,0,"1,308","1,321","22,315",0,0,0,0,0,"22,315",0, ,20231214
3545,敦泰,332,234,0,"6,710","6,808","54,490",121,35,0,"1,927","1,841","54,490",3, ,20231214
3550,聯穎,0,4,0,"6,055","6,051","21,887",0,0,0,0,0,"21,887",0, ,20231214
3557,嘉威,9,11,0,"1,149","1,147","17,142",0,0,0,0,0,"17,142",0, ,20231214
3563,牧德,61,34,0,"2,144","2,171","11,182",0,0,0,102,102,"11,182",0, ,20231214
3576,聯合再生,0,76,0,"9,354","9,278",0,0,0,0,35,35,0,0,OX ,20231214
3583,辛耘,159,275,1,"4,897","4,780","20,082",23,3,0,501,481,"20,082",1, ,20231214
3588,通嘉,59,130,0,"4,203","4,132","14,729",8,2,0,421,415,"14,729",0, ,20231214
3591,艾笛森,17,122,9,"24,921","24,807","36,322",0,0,0,56,56,"36,322",0, ,20231214
3592,瑞鼎,17,10,0,543,550,"18,963",0,6,0,14,20,"18,963",0, ,20231214
3593,力銘,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231214
3596,智易,691,"1,420",0,"3,934","3,205","55,088",27,33,0,422,428,"55,088",3, ,20231214
3605,宏致,150,480,0,"1,784","1,454","33,604",3,3,0,6,6,"33,604",8, ,20231214
3607,谷崧,528,205,0,"2,671","2,994","30,415",2,0,0,7,5,"30,415",4, ,20231214
3617,碩天,86,81,0,"3,475","3,480","22,752",7,4,0,71,68,"22,752",0, ,20231214
3622,洋華,721,843,0,"3,109","2,987","37,831",82,22,0,199,139,"37,831",0, ,20231214
3645,達邁,"1,758","1,201",1,"6,118","6,674","32,059",0,94,0,227,321,"32,059",42, ,20231214
3652,精聯,3,0,0,"2,049","2,052","18,774",0,0,0,1,1,"18,774",0, ,20231214
3653,健策,80,87,0,968,961,"35,204",0,2,0,96,98,"35,204",1, ,20231214
