股票代號,股票名稱,買進,賣出,現金償還,前日餘額,今日餘額,限額,買進,賣出,現券償還,前日餘額,今日餘額,限額,資券互抵,註記,日期
1213,大飲,0,0,0,0,0,0,0,0,0,0,0,0,0,OX ,20231215
1215,卜蜂,13,3,0,640,650,"73,697",2,0,0,5,3,"73,697",0, ,20231215
1216,統一,1,12,0,256,245,"1,420,503",0,1,0,31,32,"1,420,503",0, ,20231215
1217,愛之味,18,64,4,"9,001","8,951","123,628",0,4,4,35,35,"123,628",0, ,20231215
1218,泰山,30,85,0,"5,523","5,468","124,999",0,0,0,81,81,"124,999",0, ,20231215
1219,福壽,6,11,0,"1,884","1,879","82,915",0,0,0,0,0,"82,915",0, ,20231215
1220,台榮,15,4,0,"1,153","1,164","44,269",0,0,0,0,0,"44,269",0, ,20231215
1225,福懋油,0,6,0,"9,610","9,604","57,409",0,0,0,0,0,"57,409",0, ,20231215
1227,佳格,12,36,0,"1,613","1,589","228,772",0,0,0,3,3,"228,772",0, ,20231215
1229,聯華,2,9,0,807,800,"395,934",2,0,0,16,14,"395,934",0, ,20231215
1231,聯華食,5,0,0,133,138,"61,664",0,0,0,0,0,"61,664",0, ,20231215
1232,大統益,0,0,0,8,8,"39,993",0,0,0,0,0,"39,993",0, ,20231215
1233,天仁,0,0,0,146,146,"22,647",0,0,0,0,0,"22,647",0, ,20231215
1234,黑松,1,0,0,33,34,"100,467",0,0,0,0,0,"100,467",0, ,20231215
1235,興泰,0,0,0,"1,276","1,276","37,416",0,0,0,0,0,"37,416",0, ,20231215
1236,宏亞,0,3,0,212,209,"21,668",0,0,0,0,0,"21,668",0, ,20231215
1256,鮮活果汁-KY,0,0,0,50,50,"8,460",0,0,0,0,0,"8,460",0, ,20231215
1301,台塑,17,13,0,"2,705","2,709","1,591,435",0,0,0,17,17,"1,591,435",0, ,20231215
1303,南亞,29,13,0,"1,459","1,475","1,982,705",9,0,0,73,64,"1,982,705",0, ,20231215
1304,台聚,175,247,0,"5,322","5,250","297,190",2,20,0,207,225,"297,190",0, ,20231215
1305,華夏,111,33,0,"3,594","3,672","145,262",1,0,0,15,14,"145,262",0, ,20231215
1307,三芳,6,9,0,847,844,"99,454",0,0,0,5,5,"99,454",0, ,20231215
1308,亞聚,125,45,0,"3,249","3,329","148,435",0,0,0,191,191,"148,435",0, ,20231215
1309,台達化,126,39,0,"2,207","2,294","99,396",1,0,0,13,12,"99,396",0, ,20231215
