代號,名稱,前日餘額,賣出,買進,現券,今日餘額,限額,前日餘額,當日賣出,當日還券,當日調整,當日餘額,次一營業日可限額,備註,日期
00752,中信中國50,0,0,0,0,0,"109,929,000","8,230,000",0,"500,000",0,"7,730,000","754,525", ,20231215
00753L,中信中國50正2,"743,000","415,000","316,000",0,"842,000","158,289,250","32,023,000",0,"1,476,000",0,"30,547,000","5,413,909", ,20231215
00757,統一FANG+,"100,000",0,0,0,"100,000","44,498,500","2,545,000",0,0,0,"2,545,000","552,957", ,20231215
00762,元大全球AI,"11,000",0,0,0,"11,000","6,562,000","256,000",0,0,0,"256,000","49,847", ,20231215
00763U,期街口道瓊銅,"1,000",0,0,0,"1,000","3,391,250","38,000","2,000",0,0,"40,000","51,482", ,20231215
00770,國泰北美科技,0,0,0,0,0,"2,739,500","76,000",0,0,0,"76,000","23,827", ,20231215
00771,元大US高息特別股,0,0,0,0,0,"5,056,250","50,000",0,0,0,"50,000","11,803",X ,20231215
00775B,新光投等債15+,0,0,0,0,0,"26,775,000","1,000",0,0,0,"1,000","1,723",X ,20231215
00783,富邦中証500,0,0,0,0,0,"2,382,750","254,000",0,0,0,"254,000","16,498", ,20231215
00830,國泰費城半導體,"255,000","9,000","5,000",0,"259,000","93,491,250","6,234,000",0,0,0,"6,234,000","1,692,816", ,20231215
00850,元大臺灣ESG永續,0,0,0,0,0,"103,736,000","7,776,000",0,0,0,"7,776,000","806,925", ,20231215
00851,台新全球AI,0,0,0,0,0,"1,756,250","18,000",0,0,0,"18,000","15,722", ,20231215
00852L,國泰美國道瓊正2,"379,000",0,0,0,"379,000","2,091,250","210,000",0,0,0,"210,000","182,744", ,20231215
00861,元大全球未來通訊,0,0,0,0,0,"28,603,000","817,000",0,0,0,"817,000","132,437", ,20231215
00865B,國泰US短期公債,0,0,0,0,0,"2,936,000","45,000",0,0,0,"45,000","82,680",X ,20231215
00875,國泰網路資安,0,0,0,0,0,"6,497,000","180,000",0,0,0,"180,000","74,281", ,20231215
00876,元大全球5G,0,0,0,0,0,"35,631,000","1,539,000",0,0,0,"1,539,000","195,205", ,20231215
00878,國泰永續高股息,"109,000","1,000",0,0,"110,000","2,871,072,500","97,363,000",0,"258,000",0,"97,105,000","17,321,682", ,20231215
00881,國泰台灣5G+,"29,000",0,"4,000",0,"25,000","605,975,750","12,586,000",0,0,0,"12,586,000","2,933,956", ,20231215
00882,中信中國高股息,"36,000","5,000",0,0,"41,000","932,962,250","62,885,000",0,"1,500,000",0,"61,385,000","5,275,584", ,20231215
00885,富邦越南,"282,000","36,000",0,0,"318,000","547,434,500","18,930,000","1,660,000",0,0,"20,590,000","3,290,590", ,20231215
00891,中信關鍵半導體,"4,000",0,0,0,"4,000","303,397,500","8,618,000",0,0,0,"8,618,000","2,790,320", ,20231215
00892,富邦台灣半導體,"8,000",0,0,0,"8,000","156,448,000","3,750,000",0,0,0,"3,750,000","1,740,435", ,20231215
00893,國泰智能電動車,"596,000","13,000",0,0,"609,000","273,471,000","12,570,000",0,0,0,"12,570,000","2,353,547", ,20231215
00894,中信小資高價30,0,0,0,0,0,"29,127,250","1,023,000",0,0,0,"1,023,000","410,640", ,20231215
00895,富邦未來車,"184,000",0,0,0,"184,000","69,604,000","3,132,000",0,"24,000",0,"3,108,000","780,734", ,20231215
00896,中信綠能及電動車,0,0,0,0,0,"67,845,000","2,018,000","16,000",0,0,"2,034,000","524,607", ,20231215
00897,富邦基因免疫生技,"25,000","6,000",0,0,"31,000","72,753,000","4,336,000",0,0,0,"4,336,000","432,638", ,20231215
00898,國泰基因免疫革命,0,0,0,0,0,"76,619,000","625,000",0,0,0,"625,000","187,387", ,20231215
00899,FT潔淨能源,0,0,0,0,0,"6,033,750","756,000",0,0,0,"756,000","42,516", ,20231215
00900,富邦特選高股息30,"427,000","1,000",0,0,"428,000","658,631,250","11,227,000",0,"182,000",0,"11,045,000","5,414,963", ,20231215
00901,永豐智能車供應鏈,0,0,0,0,0,"36,087,250","1,049,000",0,0,0,"1,049,000","469,294", ,20231215
00902,中信電池及儲能,"6,000","1,000","2,000",0,"5,000","177,749,250","10,217,000",0,0,0,"10,217,000","1,162,461", ,20231215
00903,富邦元宇宙,"114,000",0,0,0,"114,000","72,930,250","1,809,000",0,0,0,"1,809,000","400,454", ,20231215
00904,新光臺灣半導體30,0,0,0,0,0,"26,278,000","610,000",0,0,0,"610,000","529,920", ,20231215
00905,FT臺灣Smart,"2,000",0,0,0,"2,000","48,456,750","1,713,000",0,0,0,"1,713,000","752,214", ,20231215
00907,永豐優息存股,0,0,0,0,0,"51,783,250","4,058,000",0,0,0,"4,058,000","917,997", ,20231215
00908,富邦入息REITs+,0,0,0,0,0,"13,229,000","2,602,000",0,0,0,"2,602,000","193,961", ,20231215
00909,國泰數位支付服務,0,0,0,0,0,"2,676,000","163,000",0,0,0,"163,000","125,668", ,20231215
00910,第一金太空衛星,0,0,0,0,0,"1,734,750",0,0,0,0,0,"79,087", ,20231215
00911,兆豐洲際半導體,0,0,0,0,0,"1,475,750",0,0,0,0,0,"37,655", ,20231215
00912,中信臺灣智慧50,0,0,0,0,0,"12,938,250","539,000",0,0,0,"539,000","229,575", ,20231215
00913,兆豐台灣晶圓製造,0,0,0,0,0,"2,191,500",0,0,0,0,0,"52,261", ,20231215
00915,凱基優選高股息30,0,0,0,0,0,"73,870,750","5,873,000","1,421,000",0,0,"7,294,000","2,357,175", ,20231215
00916,國泰全球品牌50,0,0,0,0,0,"16,979,750","630,000",0,"160,000",0,"470,000","139,435", ,20231215
00917,中信特選金融,0,0,0,0,0,"7,244,500","350,000",0,0,0,"350,000","118,165", ,20231215
00918,大華優利高填息30,0,0,0,0,0,"101,816,000","3,755,000","474,000",0,0,"4,229,000","4,455,724", ,20231215
00919,群益台灣精選高息,0,0,0,0,0,"928,158,750","61,765,000","6,970,000",0,0,"68,735,000","23,755,476", ,20231215
00920,富邦ESG綠色電力,0,0,0,0,0,"3,695,000","221,000",0,0,0,"221,000","98,252", ,20231215
00921,兆豐龍頭等權重,0,0,0,0,0,"27,192,500","1,389,000",0,0,0,"1,389,000","623,838",X ,20231215
