date,FuturesID,ContractDate,Open,Max,Min,Close,Change,ChangePer,Volume,SettlementPrice,OpenInterest,TradingSession
2023-12-04,TX,202402,17419.0,17489.0,17372.0,17486.0,66.0,0.38,113.0,0.0,0,AfterMarket
2023-12-04,TX,202403,17470.0,17475.0,17384.0,17417.0,-1.0,-0.01,54.0,17417.0,600,Position
2023-12-04,TX,202403,17416.0,17498.0,17365.0,17490.0,72.0,0.41,39.0,0.0,0,AfterMarket
2023-12-04,TX,202406,17460.0,17460.0,17390.0,17429.0,18.0,0.1,9.0,17408.0,283,Position
2023-12-04,TX,202406,17430.0,17454.0,17371.0,17454.0,43.0,0.25,6.0,0.0,0,AfterMarket
2023-12-04,TX,202409,17256.0,17266.0,17180.0,17210.0,-8.0,-0.05,26.0,17210.0,381,Position
2023-12-04,TX,202409,17217.0,17283.0,17184.0,17281.0,63.0,0.37,64.0,0.0,0,AfterMarket
2023-12-04,TJF,202312,2358.0,2370.75,2350.0,2361.5,-19.25,-0.81,204.0,2361.5,155,Position
2023-12-04,TJF,202401,2354.75,2368.25,2347.75,2355.0,-23.75,-1.0,69.0,2355.0,132,Position
2023-12-04,TJF,202403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2350.25,2,Position
2023-12-04,TJF,202406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2341.0,1,Position
2023-12-04,TJF,202409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2327.25,0,Position
2023-12-04,TGF,202312,7934.5,7939.0,7830.0,7836.0,47.5,0.61,162.0,7836.0,133,Position
2023-12-04,TGF,202312,7806.0,7846.0,7773.0,7845.0,56.5,0.73,50.0,0.0,0,AfterMarket
2023-12-04,TGF,202402,7915.0,7941.5,7839.0,7844.5,58.5,0.75,116.0,7844.5,172,Position
2023-12-04,TGF,202402,7807.5,7833.0,7770.0,7829.0,43.0,0.55,32.0,0.0,0,AfterMarket
2023-12-04,TGF,202404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7928.0,0,Position
2023-12-04,TGF,202404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,AfterMarket
2023-12-04,TGF,202406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7948.5,0,Position
2023-12-04,TGF,202406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,AfterMarket
2023-12-04,TGF,202408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7968.5,0,Position
2023-12-04,TGF,202408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,AfterMarket
2023-12-04,TGF,202410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7988.5,0,Position
2023-12-04,TGF,202410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,AfterMarket
2023-12-04,TF,202312,1699.0,1706.0,1696.6,1701.8,6.8,0.4,420.0,1701.2,1456,Position
2023-12-04,TF,202401,1700.2,1704.4,1698.0,1698.0,1.0,0.06,8.0,1701.8,19,Position
